date,rain_mm
2012.3.1,
2012.3.2,0.3
2012.3.3,
2012.3.4,0
2012.3.5,7
2012.3.6,8.5
2012.3.7,
2012.3.8,
2012.3.9,
2012.3.10,
2012.3.11,0
2012.3.12,
2012.3.13,
2012.3.14,0
2012.3.15,
2012.3.16,4
2012.3.17,2
2012.3.18,
2012.3.19,
2012.3.20,
2012.3.21,
2012.3.22,0
2012.3.23,22
2012.3.24,3.5
2012.3.25,
2012.3.26,
2012.3.27,
2012.3.28,
2012.3.29,0
2012.3.30,0.1
2012.3.31,0
2012.4.1,
2012.4.2,22
2012.4.3,35
2012.4.4,
2012.4.5,
2012.4.6,
2012.4.7,
2012.4.8,
2012.4.9,
2012.4.10,10.5
2012.4.11,3
2012.4.12,
2012.4.13,
2012.4.14,
2012.4.15,
2012.4.16,
2012.4.17,
2012.4.18,
2012.4.19,
2012.4.20,
2012.4.21,47.5
2012.4.22,9
2012.4.23,0
2012.4.24,
2012.4.25,28
2012.4.26,2
2012.4.27,
2012.4.28,
2012.4.29,
2012.4.30,
2012.5.1,
2012.5.2,0.4
2012.5.3,0.2
2012.5.4,
2012.5.5,
2012.5.6,
2012.5.7,
2012.5.8,
2012.5.9,
2012.5.10,
2012.5.11,
2012.5.12,
2012.5.13,
2012.5.14,6.5
2012.5.15,0
2012.5.16,0
2012.5.17,0.5
2012.5.18,
2012.5.19,
2012.5.20,
2012.5.21,
2012.5.22,
2012.5.23,
2012.5.24,
2012.5.25,
2012.5.26,
2012.5.27,0.3
2012.5.28,0.1
2012.5.29,
2012.5.30,0
2012.5.31,0.2
2012.6.1,
2012.6.2,
2012.6.3,
2012.6.4,
2012.6.5,0
2012.6.6,
2012.6.7,
2012.6.8,2
2012.6.9,
2012.6.10,
2012.6.11,
2012.6.12,0.4
2012.6.13,
2012.6.14,
2012.6.15,
2012.6.16,
2012.6.17,
2012.6.18,
2012.6.19,
2012.6.20,
2012.6.21,
2012.6.22,0
2012.6.23,
2012.6.24,
2012.6.25,
2012.6.26,
2012.6.27,
2012.6.28,
2012.6.29,20
2012.6.30,69.5
2012.7.1,0
2012.7.2,
2012.7.3,25
2012.7.4,0.3
2012.7.5,72
2012.7.6,102.5
2012.7.7,
2012.7.8,
2012.7.9,
2012.7.10,6.5
2012.7.11,8
2012.7.12,0
2012.7.13,76.5
2012.7.14,8
2012.7.15,32.5
2012.7.16,2.5
2012.7.17,0
2012.7.18,6
2012.7.19,72.5
2012.7.20,1
2012.7.21,
2012.7.22,16.5
2012.7.23,1
2012.7.24,
2012.7.25,
2012.7.26,
2012.7.27,
2012.7.28,
2012.7.29,0
2012.7.30,18
2012.7.31,0.1
2012.8.1,
2012.8.2,
2012.8.3,
2012.8.4,
2012.8.5,
2012.8.6,
2012.8.7,
2012.8.8,
2012.8.9,
2012.8.10,0.3
2012.8.11,
2012.8.12,17
2012.8.13,2
2012.8.14,15.5
2012.8.15,136.5
2012.8.16,
2012.8.17,0
2012.8.18,2
2012.8.19,5
2012.8.20,59.5
2012.8.21,137
2012.8.22,17
2012.8.23,0.1
2012.8.24,7.5
2012.8.25,11.5
2012.8.26,0
2012.8.27,
2012.8.28,13.5
2012.8.29,6
2012.8.30,34.5
2012.8.31,
2012.9.1,
2012.9.2,
2012.9.3,
2012.9.4,55.5
2012.9.5,10.5
2012.9.6,
2012.9.7,3
2012.9.8,25
2012.9.9,
2012.9.10,
2012.9.11,
2012.9.12,0.5
2012.9.13,13.5
2012.9.14,2
